"CI Number"	"Name"	"CI Status"	"Type"	"Manufacturer"	"Model"	"Solution"	"Environnement"	"Server Role"	"Critical Level"	"Supported by company"	"Location (Full)"	"GxP Impact"	"Monitoring"	"Availability"	"PRA"	"Complexity/Application IT Criticity"	"SLA Uplift"	"Technical Support Group"	"Application Support Group"	"Maintenance Group"	"Maintenance Schedule"	
"A200P03A"	"A200P03A"	"In production"	"PDU"	"Raritan"	"PX2-2732"	"INFRA"	"PRD"	"PDU Nexus"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/P3"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A200P03B"	"A200P03B"	"In production"	"PDU"	"Raritan"	"PX2-2732"	"INFRA"	"PRD"	"PDU Nexus"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/P3"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A208R01A"	"A208R01A"	"In production"	"PDU"	"APC"	"MASTER SWITCH PDU 16Amp AP7921"	"INFRA"	"PRD"	"POWER DISTRIBUTION UNIT"	"Low"	"Roquette"	"AMERICA/USA/GURNEE/GURNEE IL 60031"	"0"	"No"	"AVAIL1 - 24/7"	"None"	"None"	"0"	"RAI_PROX"	""	""	""	
"A210R01A"	"A210R01A"	"In production"	"PDU"	"APC"	"MASTER SWITCH PDU 16Amp AP7921"	"INFRA"	"PRD"	"POWER DISTRIBUTION UNIT"	"Low"	"Roquette"	"AMERICA/USA/KEOKUK"	"0"	"No"	"AVAIL1 - 24/7"	"None"	"None"	"0"	"RAI_PROX"	""	""	""	
"A235L06A"	"A235L06A"	"In production"	"PDU"	"Raritan"	"PX2-2732"	"INFRA"	"PRD"	"PDU LSSE Prod"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L06"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A235L06B"	"A235L06B"	"In production"	"PDU"	"Raritan"	"PX2-2732"	"INFRA"	"PRD"	"PDU LSSE Prod"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L06"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A235L07A"	"A235L07A"	"In production"	"PDU"	"Raritan"	"PX2-2493"	"INFRA"	"PRD"	"PDU LSSE Dev"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L07"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A235L07B"	"A235L07B"	"In production"	"PDU"	"Raritan"	"PX2-2493"	"INFRA"	"PRD"	"PDU LSSE Dev"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L07"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A235L09A"	"A235L09A"	"In production"	"PDU"	"Raritan"	"PX2-2493"	"INFRA"	"PRD"	"PDU NBAR"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L09"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A235L09B"	"A235L09B"	"In production"	"PDU"	"Raritan"	"PX2-2493"	"INFRA"	"PRD"	"PDU NBAR"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L09"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A235P06A"	"A235P06A"	"In production"	"PDU"	"Raritan"	"PX2-2493"	"INFRA"	"PRD"	"PDU Symphony UCS"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/P6"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A235P06B"	"A235P06B"	"In production"	"PDU"	"Raritan"	"PX2-2493"	"INFRA"	"PRD"	"PDU Symphony UCS"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/P6"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A235P07A"	"A235P07A"	"In production"	"PDU"	"Raritan"	"PX2-2493"	"INFRA"	"PRD"	"PDU Symphony Storage"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/P7"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A235P07B"	"A235P07B"	"In production"	"PDU"	"Raritan"	"PX2-2493"	"INFRA"	"PRD"	"PDU Symphony Storage"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/P7"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A235V06A"	"A235V06A"	"In production"	"PDU"	"Raritan"	"PX2-2493"	"INFRA"	"PRD"	"PDU Integration"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/V6"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	""	""	""	
"A235V10A"	"A235V10A"	"In production"	"PDU"	"Raritan"	"PX2-2732"	"INFRA"	"PRD"	"PDU Nexus"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/V10"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	""	""	""	
"A235V10B"	"A235V10B"	"In production"	"PDU"	"Raritan"	"PX2-2732"	"INFRA"	"PRD"	"PDU Nexus"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/V10"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	""	""	""	
"A235Y04A"	"A235Y04A"	"In production"	"PDU"	"Raritan"	"PX2-2493"	"INFRA"	"PRD"	"PDU LAN"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/Y4"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	""	""	""	
"A235Y04B"	"A235Y04B"	"In production"	"PDU"	"Raritan"	"PX2-2493"	"INFRA"	"PRD"	"PDU LAN"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/Y4"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	""	""	""	
"A235Y07A"	"A235Y07A"	"In production"	"PDU"	"Raritan"	"PX2-2732"	"INFRA"	"PRD"	"PDU DMZ"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/Y7"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	""	""	""	
"A235Y07B"	"A235Y07B"	"In production"	"PDU"	"Raritan"	"PX2-2732"	"INFRA"	"PRD"	"PDU DMZ"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/Y7"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	""	""	""	
"A252R01A"	"A252R01A"	"In production"	"PDU"	"APC"	"MASTER SWITCH PDU 16Amp AP7921"	"INFRA"	"PRD"	"-"	"Low"	"Roquette"	"ASIA/CHINA/SHANGHAI/RGMT/K.WAH OFFICE"	"0"	"No"	"AVAIL1 - 24/7"	"None"	"None"	"0"	"CORP_ADM_NET"	""	""	""	
"A256R01A"	"A256R01A"	"In production"	"PDU"	"APC"	"MASTER SWITCH PDU 16Amp AP9218"	"INFRA"	"PRD"	"POWER DISTRIBUTION UNIT"	"Low"	"Roquette"	"ASIA/KOREA/KOREA OFFICE"	"0"	"No"	"AVAIL1 - 24/7"	"None"	"None"	"0"	"CORP_ADM_NET"	""	""	""	
"A256R01B"	"A256R01B"	"In production"	"PDU"	"APC"	"MASTER SWITCH PDU 16Amp AP9218"	"INFRA"	"PRD"	"POWER DISTRIBUTION UNIT"	"Low"	"Roquette"	"ASIA/KOREA/KOREA OFFICE"	"0"	"No"	"AVAIL1 - 24/7"	"None"	"None"	"0"	"CORP_ADM_NET"	""	""	""	
"A260R01A"	"A260R01A"	"In production"	"PDU"	"APC"	"MASTER SWITCH PDU 16Amp AP7921"	"INFRA"	"PRD"	"-"	"Medium"	"Roquette"	"ASIA/CHINA/ST-PLANT/BLD19#A"	"0"	"No"	"AVAIL1 - 24/7"	"None"	"None"	"0"	"ASIA_SD"	""	""	""	
"A260R01B"	"A260R01B"	"In production"	"PDU"	"APC"	"MASTER SWITCH PDU 16Amp AP7921"	"INFRA"	"PRD"	"-"	"Medium"	"Roquette"	"ASIA/CHINA/ST-PLANT/BLD19#A"	"0"	"No"	"AVAIL1 - 24/7"	"None"	"None"	"0"	"ASIA_SD"	""	""	""	
"A260R03A"	"A260R03A"	"In production"	"PDU"	"APC"	"MASTER SWITCH PDU 16Amp AP7921"	"INFRA"	"PRD"	"-"	"Medium"	"Roquette"	"ASIA/CHINA/ST-PLANT/BLD19#A"	"0"	"No"	"AVAIL1 - 24/7"	"None"	"None"	"0"	"ASIA_SD"	""	""	""	
"A260R03B"	"A260R03B"	"In production"	"PDU"	"APC"	"MASTER SWITCH PDU 16Amp AP7921"	"INFRA"	"PRD"	"-"	"Medium"	"Roquette"	"ASIA/CHINA/ST-PLANT/BLD19#A"	"0"	"No"	"AVAIL1 - 24/7"	"None"	"None"	"0"	"ASIA_SD"	""	""	""	
"AU65R01A"	"AU65R01A"	"In production"	"PDU"	"APC"	"AP7901B"	"INFRA"	"PRD"	"POWER DISTRIBUTION UNIT"	"Low"	"Roquette"	"AMERICA/CANADA/PORTAGE LA PRAIRIE/[[MAIN GUARD HOUSE 1 & TRUCKS RECEPTION]]/[[I.T. ROOM]]/[[IT Rack 4]]"	"0"	"No"	"AVAIL1 - 24/7"	"None"	"None"	"0"	"CORP_ADM_NET"	""	""	""	
"AU70R01A"	"AU70R01A"	"In production"	"PDU"	"APC"	"AP7900B"	"INFRA"	"PRD"	""	"Low"	"Roquette"	"AMERICA/CANADA/PORTAGE LA PRAIRIE/[[ADMIN BUILDING]]/[[I.T. Room]]/[[[IT Rack 4]]"	"0"	"No"	"AVAIL1 - 24/7"	"None"	"None"	"0"	"CORP_ADM_NET"	""	""	""	
"AU70R02A"	"AU70R02A"	"In production"	"PDU"	"APC"	"AP7900B"	"INFRA"	"PRD"	"POWER DISTRIBUTION UNIT"	"Low"	"Roquette"	"AMERICA/CANADA/PORTAGE LA PRAIRIE/[[ADMIN BUILDING]]/[[I.T. Room]]/[[[IT Rack 4]]"	"0"	"No"	"AVAIL1 - 24/7"	"None"	"None"	"0"	"CORP_ADM_NET"	""	""	""	
"B103V02"	"B103V02"	"In production"	"VCNF"	"Poly"	"Polycom Medialign 255"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/FRANCE/VECQUEMONT"	"0"	"Zabbix"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B103V02_T"	"B103V02_T"	"In production"	"VCNF"	"Poly"	"Polycom RealPresence Touch"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/FRANCE/VECQUEMONT"	"0"	"Zabbix"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B118V02"	"B118V02"	"In production"	"VCNF"	"Poly"	"Polycom Medialign 255"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/FRANCE/VIC SUR AISNE"	"0"	"Zabbix"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B118V02_T"	"B118V02_T"	"In production"	"VCNF"	"Poly"	"Polycom RealPresence Touch"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/FRANCE/VIC SUR AISNE"	"0"	"Zabbix"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B130V07"	"B130V07"	"In production"	"VCNF"	"Poly"	"Polycom Medialign 255"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/FRANCE/LA MADELEINE"	"0"	"Zabbix"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B130V10"	"B130V10"	"In production"	"VCNF"	"Poly"	"Polycom Medialign 270"	"VCNF"	"PRD"	""	"High"	"Fujitsu"	"EUROPE/FRANCE/LA MADELEINE/REPUBLIQUE/R+8"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"None"	"Low"	"1"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B130V10_T"	"B130V10_T"	"In production"	"VCNF"	"Poly"	"Polycom RealPresence Touch"	"VCNF"	"PRD"	""	"High"	"Fujitsu"	"EUROPE/FRANCE/LA MADELEINE"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"None"	"Low"	"1"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B130V11_T"	"B130V11_T"	"In production"	"VCNF"	"Poly"	"Polycom RealPresence Touch"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/FRANCE/LA MADELEINE"	"0"	"No"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B130V12"	"B130V12"	"In production"	"VCNF"	"Poly"	"Polycom Medialign 270"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/FRANCE/LA MADELEINE/REPUBLIQUE/R+3"	"0"	"No"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B130V12_T"	"B130V12_T"	"In production"	"VCNF"	"Poly"	"Polycom RealPresence Touch"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/FRANCE/LA MADELEINE"	"0"	"No"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B130V13"	"B130V13"	"In production"	"VCNF"	"Poly"	"Polycom Medialign 255"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/FRANCE/LA MADELEINE/REPUBLIQUE/R+2"	"0"	"No"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B130V13_T"	"B130V13_T"	"In production"	"VCNF"	"Poly"	"Polycom RealPresence Touch"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/FRANCE/LA MADELEINE"	"0"	"No"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B130V14"	"B130V14"	"In production"	"VCNF"	"Poly"	"Polycom Medialign 270"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/FRANCE/LA MADELEINE/REPUBLIQUE/R+2"	"0"	"Zabbix"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B130V14_T"	"B130V14_T"	"In production"	"VCNF"	"Poly"	"Polycom RealPresence Touch"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/FRANCE/LA MADELEINE"	"0"	"Zabbix"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B130V15"	"B130V15"	"In production"	"VCNF"	"Poly"	"Polycom Medialign 270"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/FRANCE/LA MADELEINE"	"0"	"No"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B130V15_T"	"B130V15_T"	"In production"	"VCNF"	"Poly"	"Polycom RealPresence Touch"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/FRANCE/LA MADELEINE"	"0"	"No"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B130V16"	"B130V16"	"In production"	"VCNF"	"Poly"	"Polycom Medialign 270"	"VCNF"	"PRD"	""	"High"	"Fujitsu"	"EUROPE/FRANCE/LA MADELEINE/REPUBLIQUE/R+2"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"None"	"Low"	"1"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B130V16_T"	"B130V16_T"	"In production"	"VCNF"	"Poly"	"Polycom RealPresence Touch"	"VCNF"	"PRD"	""	"High"	"Fujitsu"	"EUROPE/FRANCE/LA MADELEINE"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"None"	"Low"	"1"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B130V17_T"	"B130V17_T"	"In production"	"VCNF"	"Poly"	"Polycom RealPresence Touch"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/FRANCE/LA MADELEINE"	"0"	"No"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B201V03"	"B201V03"	"In production"	"VCNF"	"Poly"	"Polycom Medialign 255"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/ITALY/CASSANO SPINOLA"	"0"	"Zabbix"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B201V03_T"	"B201V03_T"	"In production"	"VCNF"	"Poly"	"Polycom RealPresence Touch"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/ITALY/CASSANO SPINOLA"	"0"	"Zabbix"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B201V04"	"B201V04"	"In production"	"VCNF"	"Poly"	"Polycom Medialign 255"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/ITALY/CASSANO SPINOLA"	"0"	"Zabbix"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B201V04_T"	"B201V04_T"	"In production"	"VCNF"	"Poly"	"Polycom RealPresence Touch"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/ITALY/CASSANO SPINOLA"	"0"	"Zabbix"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B201V05"	"B201V05"	"In production"	"VCNF"	"Poly"	"Polycom Medialign 255"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/ITALY/CASSANO SPINOLA"	"0"	"Zabbix"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B201V05_T"	"B201V05_T"	"In production"	"VCNF"	"Poly"	"Polycom RealPresence Touch"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/ITALY/CASSANO SPINOLA/VILLA ROQUETTE - FORMAZIONE/UTILIZZATORI/SALONE P.T"	"0"	"Zabbix"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B201V06"	"B201V06"	"In production"	"VCNF"	"Poly"	"Polycom Medialign 255"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/ITALY/CASSANO SPINOLA"	"0"	"Zabbix"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"B201V06_T"	"B201V06_T"	"In production"	"VCNF"	"Poly"	"Polycom RealPresence Touch"	"VCNF"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/ITALY/CASSANO SPINOLA/VILLA ROQUETTE - FORMAZIONE/UTILIZZATORI/AULA 5"	"0"	"Zabbix"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
